T,ratio,E,E_std,M,M_std,C,C_std,X,X_std
0.803030303030303,0.16161616161616163,-1.675004266666673,0.00021593594853113113,0.9994494000000005,7.025411019998703e-05,0.0191438660988408,0.002669370235995131,0.0015996427471698152,0.000296543111176902
0.8323232323232322,0.16161616161616163,-1.6743985050505124,0.00024830719936951836,0.9992582500000003,8.055238978448786e-05,0.02407376205815788,0.002720284615734402,0.002106185712378646,0.00030494374861423653
0.8616161616161615,0.16161616161616163,-1.6735876121212179,0.0002726424943130195,0.9989968500000012,8.790521884385603e-05,0.030091498649301666,0.003029587190957422,0.0027953109601406897,0.00039094608040100105
0.8909090909090909,0.16161616161616163,-1.6726130222222277,0.00027767411938439473,0.9986828000000011,8.979510008897628e-05,0.03695110597528772,0.0028204327892313455,0.003596964530612253,0.00036337721777832013
0.9202020202020201,0.16161616161616163,-1.6713562818181873,0.0003258784678020967,0.9982678000000013,0.0001106646284952032,0.04613029005271537,0.003968354081476132,0.004794919488474212,0.0005287239084032378
0.9494949494949494,0.16161616161616163,-1.669932666666671,0.0004691758366733174,0.9977921000000016,0.00016131053902322434,0.05454533444336743,0.004812090548978293,0.006076770185106389,0.0007644639538175527
0.9787878787878787,0.16161616161616163,-1.6681867282828327,0.0004447458617249703,0.9972103500000018,0.00016011754276144658,0.06484744809929194,0.004443870849813882,0.007647403755417991,0.0009455013248243988
1.0080808080808081,0.16161616161616163,-1.6660862363636395,0.0005259905447653293,0.9964915500000028,0.0001938461954745236,0.07713231816795825,0.005703771809040261,0.009733129349699405,0.0010411242104573074
1.0373737373737373,0.16161616161616163,-1.6637046000000009,0.0005442318511530633,0.9956666000000031,0.00021311015930721238,0.08959539487265332,0.006464037634562528,0.012044349061343742,0.001554324625565484
1.0666666666666667,0.16161616161616163,-1.6608683747474748,0.0005894446976134985,0.9946709000000037,0.0002237435809133663,0.10422406385929475,0.005944990017767038,0.014920924500000026,0.001460849181676368
1.095959595959596,0.16161616161616163,-1.6575460151515151,0.0006727457117283764,0.9934905500000049,0.0002576954549461948,0.11997781031714258,0.007718200179786615,0.01833640726728112,0.002070316733302089
1.1252525252525252,0.16161616161616163,-1.6536441393939376,0.0008692377606021931,0.9920535000000054,0.0003319905872157563,0.1387061478311276,0.00809923811796739,0.023129535296229842,0.0029342038434093214
1.1545454545454545,0.16161616161616163,-1.6492794767676744,0.0009831470646217322,0.9904425500000064,0.00040768093835721273,0.15893537679171363,0.009586378732567962,0.028119185929133917,0.0032399995594224185
1.183838383838384,0.16161616161616163,-1.644448604040401,0.0010408310369611382,0.9886247500000077,0.0004459082725178363,0.17954083490972317,0.011847900052459604,0.034017853999146794,0.003722099713381654
1.213131313131313,0.16161616161616163,-1.6387964838383797,0.0011471321998752187,0.9864566000000083,0.0005195458978761317,0.20257191926436302,0.014099011622751893,0.041610297956702784,0.005744558858036779
1.2424242424242424,0.16161616161616163,-1.6323635515151471,0.0013286114525866391,0.983918750000009,0.0006035554551984756,0.23043476548826486,0.01579296468468191,0.05134039205121957,0.006458807909916866
1.2717171717171718,0.16161616161616163,-1.625176802020196,0.001262544762963578,0.9810219500000105,0.0006281030548404727,0.25812505490987214,0.016826983634848268,0.06258006392454336,0.008588449229189532
1.301010101010101,0.16161616161616163,-1.6172151646464579,0.001667739172070251,0.9776919500000109,0.0008088927292911124,0.28958447918176505,0.020268236519535857,0.0770846736871118,0.011035057830824108
1.3303030303030303,0.16161616161616163,-1.6085410888888807,0.001602330112023016,0.9740036000000107,0.0008871510807073399,0.3200769185764758,0.022072185324443012,0.09291090615034177,0.015350004846882323
1.3595959595959597,0.16161616161616163,-1.5980846414141334,0.0019283451595228703,0.9693770000000111,0.0011025461441592547,0.35645187243326865,0.022130987981355384,0.11456779060029705,0.018724702825141337
1.3888888888888888,0.16161616161616163,-1.5873060525252445,0.0023148217314380177,0.9644318500000111,0.0014852982284716146,0.4020677592293714,0.026887777657297364,0.14573213128799994,0.02495791629114692
1.4181818181818182,0.16161616161616163,-1.5749501343434265,0.0026831105551976308,0.9586198500000093,0.0016725425936284166,0.44036744965233043,0.03082468674039484,0.17668863871153836,0.030714182008835442
1.4474747474747474,0.16161616161616163,-1.5611001676767597,0.00285999066271195,0.9517218000000075,0.0020117831046117768,0.4893508646427162,0.035284263100528714,0.22389119669644103,0.048856524451303805
1.4767676767676767,0.16161616161616163,-1.5458807101010026,0.0032865319960493702,0.9435514500000055,0.0026545643988235825,0.5495996005545807,0.041520391678707094,0.2981420186983583,0.08296273090560394
1.506060606060606,0.16161616161616163,-1.5289414323232253,0.0037520223314137747,0.9344547000000029,0.0030350097874638866,0.6077688511424559,0.05124462663350647,0.38168925147283694,0.116876986593151
1.5353535353535352,0.16161616161616163,-1.5111019202020133,0.004717246443300854,0.9242193000000012,0.004451513451625335,0.6760553472195374,0.06923616022906656,0.505948367143421,0.24661483534568857
1.5646464646464646,0.16161616161616163,-1.4884119020201965,0.0046692760432311565,0.9098302999999991,0.004915545077608532,0.761721993480613,0.07382600112314816,0.6844000044712711,0.27211170031064663
1.593939393939394,0.16161616161616163,-1.465213328282823,0.006196708308983017,0.8937337999999984,0.007153482477786474,0.8553142936163165,0.10499793374008126,0.9726973160304178,0.47141590066089073
1.6232323232323231,0.16161616161616163,-1.4385053636363585,0.0078103216932232915,0.8730341499999983,0.012418657476857022,0.9678528138737634,0.13295235177194364,1.5607264689352829,1.260807376479746
1.6525252525252525,0.16161616161616163,-1.407327240404036,0.009752764760633456,0.8460035999999989,0.017342089955942323,1.104670131357731,0.1750229690723897,2.3563746909462098,1.7974179049636179
1.6818181818181819,0.16161616161616163,-1.3731958060606013,0.013140104711675276,0.8109664999999996,0.027089617102314244,1.260447448241104,0.2135753883718962,3.75639000547027,2.529981300256084
1.711111111111111,0.16161616161616163,-1.3341540696969652,0.014626741143801154,0.76879345,0.03267819795134814,1.4013630243013915,0.21403418403893776,5.277662968616884,2.8370576709328663
1.7404040404040404,0.16161616161616163,-1.2887712919191885,0.016791232712828938,0.7087612999999997,0.04154014455692234,1.5523092906903866,0.21902564121583926,7.810300648258853,3.3677466352432885
1.7696969696969698,0.16161616161616163,-1.2361783404040374,0.018628955187017376,0.6293713499999999,0.048184757423146866,1.6295662026484703,0.15883747094631115,10.357875045488013,2.860225864594517
1.798989898989899,0.16161616161616163,-1.191952181818178,0.017428944892186896,0.5633172000000001,0.049075067846718314,1.5596275105599897,0.14523061719765565,11.484780971588998,2.115460558762311
1.8282828282828283,0.16161616161616163,-1.1447805888888867,0.01604442037555862,0.48786270000000004,0.04431872214098693,1.442219170861493,0.12895746042429498,11.758833914549168,1.4706517873884888
1.8575757575757574,0.16161616161616163,-1.104109176767674,0.01558714737781368,0.42305640000000005,0.046174626696271155,1.2864838094214688,0.15743335536758987,11.044748847376834,1.2186098297441652
1.8868686868686868,0.16161616161616163,-1.0700465636363612,0.011723649508083299,0.36930104999999985,0.03486469020581567,1.1278498456760635,0.13228623056785138,9.966851201240365,1.1239492350932787
1.9161616161616162,0.16161616161616163,-1.036276920202018,0.010841408538495375,0.3216169,0.03334453943886465,0.9829782061367147,0.09473517827869353,8.4728560433864,0.9286839504070361
1.9454545454545453,0.16161616161616163,-1.0101208616161597,0.007966064765405682,0.291218,0.025586826317462705,0.9037468357850003,0.08786569815605019,7.493061686822428,0.8475939068517768
1.9747474747474747,0.16161616161616163,-0.9852530686868675,0.006680322059332291,0.26400504999999996,0.02064800389256792,0.7971623998984948,0.07889480896838637,6.410082638803581,0.747488866852012
2.004040404040404,0.16161616161616163,-0.9620040636363624,0.006580528404343315,0.23767329999999995,0.01885012700514246,0.728436702115027,0.05918784350577574,5.3800366748407225,0.652512255565531
2.033333333333333,0.16161616161616163,-0.9415487454545445,0.006653244706211887,0.22173189999999995,0.017534860974356234,0.6788594704041734,0.05876505277095944,4.784764755344266,0.5389236465550709
2.0626262626262624,0.16161616161616163,-0.9238061666666654,0.0065178433980457,0.20953534999999993,0.015789135683358334,0.6304752013083162,0.05046243007895964,4.201677140901567,0.5304669876279041
2.091919191919192,0.16161616161616163,-0.904906802020201,0.005719445844425121,0.19600159999999991,0.011906849391841626,0.5955419451040112,0.03877094741703282,3.7588698092998545,0.3939993382715974
2.121212121212121,0.16161616161616163,-0.887212177777777,0.004659791290212896,0.18105789999999997,0.011957756921346083,0.565627064451731,0.035756278556003954,3.2497743577200024,0.40603820903192256
2.1505050505050503,0.16161616161616163,-0.8700763191919184,0.004574176541813101,0.1720497,0.01092952386474358,0.5322739697908339,0.036139845097486516,2.860479817871302,0.3383101321639675
2.17979797979798,0.16161616161616163,-0.8562009535353527,0.004600344360517562,0.1635529,0.009422232012108381,0.5082964033200461,0.029373782168869815,2.6164833764680258,0.2561853610524838
2.209090909090909,0.16161616161616163,-0.8408629797979793,0.004184226770195647,0.1574501,0.008230939982164849,0.48778135880963824,0.028830683437298478,2.431422642090535,0.26139823967517484
2.238383838383838,0.16161616161616163,-0.8276240626262619,0.004002454619128426,0.1515992,0.007521168982279264,0.46637720397220583,0.026849418464572988,2.214244378291515,0.22266141969227068
2.2676767676767677,0.16161616161616163,-0.8143216424242415,0.004119608985049247,0.14545475000000002,0.006614616178396123,0.44298022185356184,0.027192061434303784,2.022145478342539,0.18073276402232383
2.296969696969697,0.16161616161616163,-0.8003099121212116,0.004013981076712654,0.13951965000000002,0.006169655430208377,0.4284834558437002,0.0272291820958028,1.8649185280725602,0.1631891349479656
2.326262626262626,0.16161616161616163,-0.7892346141414137,0.004068059079661936,0.1353357,0.0069122416052970785,0.41121051857814245,0.02237704752809932,1.7226298713478077,0.16255161610422691
2.3555555555555556,0.16161616161616163,-0.7779839121212117,0.0037128673420929624,0.13131475000000006,0.00478867624584288,0.3940741127949308,0.020144154616081742,1.6070192426462264,0.1148005570377761
2.3848484848484848,0.16161616161616163,-0.7657790010101009,0.0040159272222135564,0.12785550000000007,0.004604850839060907,0.38231136841966945,0.02199744758187698,1.5192942488462524,0.13097407148715842
2.414141414141414,0.16161616161616163,-0.7541945707070706,0.0033808952222602645,0.12319395000000012,0.00547563664312195,0.3658309476101787,0.018783355179912607,1.394522091779498,0.11832170235341741
2.4434343434343435,0.16161616161616163,-0.7446055373737371,0.0033164774062798236,0.12016710000000007,0.004433492707786944,0.3531894800071814,0.019684706201991437,1.312038155072344,0.10414858270755446
2.4727272727272727,0.16161616161616163,-0.7343304070707072,0.0037896822389466463,0.11756195000000004,0.0046687013662794815,0.33801879828240855,0.017399814414323644,1.2417475998125007,0.10062819725355582
2.502020202020202,0.16161616161616163,-0.7243946525252527,0.0033508630040201197,0.1148049500000001,0.004771835050323928,0.3287328889984193,0.018785602171993855,1.1804041054166334,0.0962058558001166
2.5313131313131314,0.16161616161616163,-0.7153377262626266,0.003795869000684683,0.11207090000000006,0.0042699606778048875,0.32108600227406714,0.016366946282285074,1.100784130233041,0.08562674006030804
2.5606060606060606,0.16161616161616163,-0.7049371848484851,0.003435920397802287,0.10899140000000004,0.00445026286189926,0.30755630933069783,0.015286547069925447,1.0284768887786988,0.08067455542603037
2.5898989898989897,0.16161616161616163,-0.6964536505050509,0.0035661099667670566,0.10748280000000003,0.0031636101466520753,0.2988152597279846,0.014037743440006667,1.0001104753900156,0.06440293215692754
2.6191919191919193,0.16161616161616163,-0.687369364646465,0.004018046901648208,0.10520045000000007,0.0038674815510225807,0.2897260073869922,0.014442171814253672,0.9409190844099499,0.06376411667662778
2.6484848484848484,0.16161616161616163,-0.679041975757576,0.003620073561379782,0.1027511,0.003224657933797006,0.2822252407893753,0.01460331928094138,0.8944161464073233,0.05720571643452837
2.6777777777777776,0.16161616161616163,-0.6715218090909097,0.003891722433218182,0.10166520000000007,0.00320958322216452,0.2716986819109454,0.015268839655302553,0.8666348242406633,0.054646767946668756
2.707070707070707,0.16161616161616163,-0.6639516979797985,0.003240729299392126,0.09982210000000008,0.0033804947995818677,0.26679870177246967,0.015248366265913476,0.8219295627514925,0.057241844528685214
2.7363636363636363,0.16161616161616163,-0.6558321626262631,0.0037161261622458428,0.09821355000000001,0.0030171053424598976,0.2556276459307421,0.014710152276707567,0.7847109719501659,0.0462826013248654
2.7656565656565655,0.16161616161616163,-0.6479340222222225,0.003854784677009515,0.09694055000000004,0.00263284702318612,0.24899060313038018,0.014663647001761957,0.7629606217571221,0.04440588703705919
2.7949494949494946,0.16161616161616163,-0.6411120888888894,0.0031393705898498736,0.09478510000000007,0.00272898341695219,0.24359060172110866,0.012040269985591028,0.727267662858692,0.04395608370770963
2.824242424242424,0.16161616161616163,-0.6334592292929301,0.0029797892470905894,0.09377955000000007,0.0026611022241732844,0.2388919781644873,0.01050714365918917,0.6921706500547208,0.042385817204854265
2.8535353535353534,0.16161616161616163,-0.627180363636364,0.0033609877751353805,0.09226400000000008,0.002748794008288004,0.23048857617313778,0.012081001712840172,0.6710075527284954,0.04208413180178668
